V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q18,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_10_TEXT,Q13,Q16,Q14,Q15,Q17,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_10_TEXT,Q21,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,ID,Age,Gender,Are you left handed or right handed?,Do you have corrective lenses?,Are you wearing them now?,Do you have any visual impairments (such as color blindness)?,Is English your native language?,"Rate your ability as a computer gamer: (1 = Low Ability, 5 = High Ability)","Rate your ability as a gamer on a console (Xbox, Playstation, ...)","Rate your ability with playing multiplayer network games: (1 = Low Ability, 5 = High Ability)",Select all the game types you are experienced with: (Multiple choices may be selected)-First Person Shooter (FPS),Select all the game types you are experienced with: (Multiple choices may be selected)-Real Time Strategy (RTS),Select all the game types you are experienced with: (Multiple choices may be selected)-Massive Multiplayer Online (MMO),Select all the game types you are experienced with: (Multiple choices may be selected)-Turn Based game (any),Select all the game types you are experienced with: (Multiple choices may be selected)-Puzzle games,Select all the game types you are experienced with: (Multiple choices may be selected)-Point and click adventure games,Select all the game types you are experienced with: (Multiple choices may be selected)-Multiplayer Online Battle Arena (MOBA),Select all the game types you are experienced with: (Multiple choices may be selected)-Racing games,Select all the game types you are experienced with: (Multiple choices may be selected)-Sports games,Select all the game types you are experienced with: (Multiple choices may be selected)-Other,Select all the game types you are experienced with: (Multiple choices may be selected)-Other-TEXT,"How many hours a week, on average, do you spend playing video games?","How many hours a week, on average, do you use a game controller to play games?",Do you play a musical instrument or sing?,How often do you play or sing?,Are you a digital artist?,How often do you practice digital artwork?,What is your field of study? (Multiple choices may be selected)-Mechanical Engineering,What is your field of study? (Multiple choices may be selected)-Biology and Biotechnology,What is your field of study? (Multiple choices may be selected)-Robotics Engineering,What is your field of study? (Multiple choices may be selected)-Biomedical Engineering,What is your field of study? (Multiple choices may be selected)-Electrical and Computer Engineering,What is your field of study? (Multiple choices may be selected)-Computer Science,What is your field of study? (Multiple choices may be selected)-Interactive Media and Game Development,What is your field of study? (Multiple choices may be selected)-Chemical Engineering,What is your field of study? (Multiple choices may be selected)-Civil Engineering,What is your field of study? (Multiple choices may be selected)-Other,What is your field of study? (Multiple choices may be selected)-Other-TEXT,Please tell the user study facilitator and proceed with the study,LocationLatitude,LocationLongitude,LocationAccuracy
R_1gp6mvk66qbsjMy,Default Response Set,Anonymous,,,130.215.24.216,0,3/28/2017 10:05,3/28/2017 10:45,1,0,25,1,2,2,2,2,2,5,2,5,1,1,1,,1,1,1,,,,,6,1,2,1,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_3KwJyWk71cImC7N,Default Response Set,Anonymous,,,130.215.24.216,0,3/28/2017 10:45,3/28/2017 12:53,1,1,22,1,2,2,2,2,1,5,2,3,,,1,1,,,1,,,,,2,1,1,5,2,1,,,1,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_3qCAY8BHsbi2wVA,Default Response Set,Anonymous,,,130.215.24.216,0,3/28/2017 12:53,3/28/2017 13:08,1,2,21,1,2,1,1,1,2,5,3,5,1,1,1,,,,1,,,,,4,1,1,3,1,3,,,1,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_sFsuIGwkMcW4y3f,Default Response Set,Anonymous,,,130.215.24.220,0,3/28/2017 13:09,3/28/2017 13:21,1,3,21,1,2,1,1,2,1,4,2,4,1,,1,1,1,1,1,,,,,5,1,2,1,2,1,,1,1,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_b1a0WDbtNmCwQlb,Default Response Set,Anonymous,,,130.215.24.220,0,3/28/2017 13:21,3/28/2017 13:23,1,4,20,1,2,1,1,2,2,5,3,5,1,1,,1,1,1,1,,,,,4,1,2,1,2,2,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_0e9kmbwjpHE0zol,Default Response Set,Anonymous,,,130.215.24.216,0,3/29/2017 12:07,3/29/2017 12:35,1,5,18,2,2,2,2,2,1,3,2,3,1,,,1,1,1,,1,,,,2,1,1,4,1,4,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_2uyPvBIXwV1mpqx,Default Response Set,Anonymous,,,130.215.24.216,0,3/29/2017 12:35,3/29/2017 13:06,1,6,18,1,2,1,1,2,1,5,4,5,1,1,1,1,1,1,1,1,,,,4,2,1,2,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_1K9bKYcSBm7FUrA,Default Response Set,Anonymous,,,130.215.24.197,0,4/3/2017 10:38,4/3/2017 11:02,1,8,19,2,2,1,2,2,2,3,1,3,,,,,1,1,,1,,,,1,1,1,1,1,2,,,1,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_DT57SBdMsvFDCy5,Default Response Set,Anonymous,,,130.215.24.218,0,4/3/2017 11:07,4/3/2017 11:21,1,9,18,1,1,1,1,2,1,4,2,4,1,1,,1,,1,,1,,,,3,1,2,,1,3,,,1,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_3sbsNbWX5EDClXJ,Default Response Set,Anonymous,,,130.215.24.216,0,4/3/2017 10:33,4/3/2017 11:25,1,7,18,2,2,2,2,2,2,2,2,2,,,,,,1,1,,1,,,2,2,1,2,1,3,,,,,,1,1,,,,,1,42.28570557,-71.82920074,-1
R_3qUNAL7QewFSEYG,Default Response Set,Anonymous,,,130.215.24.218,0,4/3/2017 11:23,4/3/2017 11:34,1,10,18,1,2,2,2,2,1,5,5,5,1,1,1,1,,1,1,1,1,,,4,2,2,,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_2QX1xgJGtX9HJ27,Default Response Set,Anonymous,,,130.215.24.218,0,4/4/2017 9:45,4/4/2017 10:59,1,12,22,1,2,1,2,2,1,4,2,3,1,1,1,1,1,,1,1,,,,3,2,1,1,1,5,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_3UHiK8NcBxlrZ7j,Default Response Set,Anonymous,,,130.215.24.218,0,4/4/2017 10:59,4/4/2017 11:57,1,13,20,1,2,2,2,2,1,4,2,4,1,1,,1,1,1,1,1,,,,4,2,2,1,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_2ceLwxmSgrnhmm2,Default Response Set,Anonymous,,,130.215.24.216,0,4/4/2017 9:44,4/4/2017 13:26,1,14,19,2,2,2,2,2,1,2,1,1,,,,,1,,,1,,,,1,1,1,1,2,1,,,,,1,,,,,,,1,42.28570557,-71.82920074,-1
R_ZHPz6YIYTbcts6R,Default Response Set,Anonymous,,,130.215.24.218,0,4/3/2017 12:50,4/5/2017 11:01,1,11,21,1,2,1,1,2,1,2,1,2,1,,,,1,1,,1,,,,1,1,2,1,2,1,,1,,,,,,,,,,1,42.28570557,-71.82920074,-1
R_3rGlwaJFTlCyevF,Default Response Set,Anonymous,,,130.215.24.218,0,4/5/2017 11:01,4/5/2017 11:36,1,15,19,1,2,2,2,2,1,4,4,3,1,,,1,1,1,,,,,,4,3,1,3,2,1,,,,,,1,1,,,,,1,42.28570557,-71.82920074,-1
R_24i5WY2rqODXRPs,Default Response Set,Anonymous,,,130.215.24.216,0,4/5/2017 11:05,4/5/2017 12:32,1,16,19,1,2,1,1,2,1,4,1,4,1,1,1,1,1,1,1,,,,,2,1,2,1,2,1,,,,,,1,1,,,,,1,42.28570557,-71.82920074,-1
R_qW4ECIy8lFNnkTT,Default Response Set,Anonymous,,,130.215.24.218,0,4/5/2017 11:36,4/5/2017 12:34,1,17,22,2,2,1,1,2,1,2,3,2,,,,,1,1,,1,1,,,1,1,2,1,2,1,,,,,,,,,1,,,1,42.28570557,-71.82920074,-1
R_31g71holmlVa2eG,Default Response Set,Anonymous,,,130.215.24.216,0,4/5/2017 12:32,4/5/2017 13:02,1,18,20,2,2,1,2,2,1,4,2,4,,1,1,1,,1,1,,,,,3,1,2,1,1,3,,,,,,1,1,,,,,1,42.28570557,-71.82920074,-1
R_29deq5UzjT0jFtE,Default Response Set,Anonymous,,,130.215.24.218,0,4/5/2017 12:34,4/5/2017 13:03,1,19,20,1,1,1,1,2,1,4,5,1,,,,1,1,,,1,,1,"Platformers, Hack-and-Slash, Strategy RPG, Action RPG",5,5,2,,2,,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_3lzVJfvRGmRlf0Q,Default Response Set,Anonymous,,,130.215.24.216,0,4/5/2017 13:02,4/5/2017 13:32,1,21,20,1,2,1,1,2,1,5,1,4,1,1,1,1,1,1,1,1,1,1,Fighting Games,2,1,1,5,1,2,,,1,,,1,1,,,,,1,42.28570557,-71.82920074,-1
R_2w7tBZYoUeMqQ1b,Default Response Set,Anonymous,,,130.215.24.218,0,4/5/2017 13:03,4/5/2017 13:33,1,20,20,1,2,2,,2,1,4,2,3,,,,1,,,1,,,1,RPGs (especially ARPGs),5,1,2,,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_3dT90aXRYPk7JhI,Default Response Set,Anonymous,,,130.215.24.197,0,4/5/2017 13:32,4/5/2017 13:36,1,22,18,2,2,1,1,2,1,1,2,2,1,,1,,,1,,1,,,,2,2,2,,2,,,,,,1,,,,,,,1,42.28570557,-71.82920074,-1
R_11hg5JgxtUweEEa,Default Response Set,Anonymous,,,130.215.24.215,0,4/5/2017 15:10,4/5/2017 15:14,1,23,21,3,2,2,2,2,2,5,1,5,1,1,,1,,,1,,,,,3,1,2,1,2,1,,,,,,,,1,,,,1,42.28570557,-71.82920074,-1
R_yVBF3KG1Bsxe7uh,Default Response Set,Anonymous,,,130.215.24.218,0,4/6/2017 11:44,4/6/2017 12:13,1,24,18,1,1,1,1,2,1,3,3,3,1,1,1,1,1,1,,,,,,1,1,1,4,2,1,1,,,,,,,,,,,1,42.28570557,-71.82920074,-1
R_3hH15AFpE7yAxLk,Default Response Set,Anonymous,,,130.215.24.216,0,4/7/2017 9:58,4/7/2017 10:14,1,25,19,2,2,1,1,2,1,3,3,3,1,1,1,1,1,1,,1,,,,1,1,2,1,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_2tgwUeLSXL3fn2p,Default Response Set,Anonymous,,,130.215.24.218,0,4/7/2017 10:00,4/7/2017 10:24,1,26,21,1,1,1,1,2,1,5,3,5,1,1,1,1,1,1,1,,,1,Idle,4,4,2,1,2,2,,,,,,1,1,,,,,1,42.28570557,-71.82920074,-1
R_28G44R4XJS4SnI6,Default Response Set,Anonymous,,,130.215.24.220,0,4/7/2017 10:23,4/7/2017 10:26,1,27,22,3,2,1,1,2,1,4,2,1,,,1,1,1,,,1,,,,3,1,1,3,1,3,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_1roHwWK9pQwtcVi,Default Response Set,Anonymous,,,130.215.24.218,0,4/7/2017 10:24,4/7/2017 10:59,1,28,18,1,2,2,2,2,2,4,3,3,1,,,1,1,,1,1,,1,"Platformer, Fighting",4,2,2,,2,,,,,,,1,1,,,,,1,42.28570557,-71.82920074,-1
R_u9Dx4l0q6N5Th0l,Default Response Set,Anonymous,,,130.215.24.218,0,4/7/2017 10:59,4/7/2017 12:18,1,29,19,1,2,1,1,2,1,3,4,4,1,1,,1,1,,1,,,,,5,3,1,2,2,1,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_diEdYXdG0j76yZz,Default Response Set,Anonymous,,,130.215.24.216,0,4/7/2017 10:14,4/7/2017 12:18,1,30,19,1,3,1,1,2,1,4,4,4,1,1,1,1,1,1,1,1,1,,,2,1,1,3,2,2,,,1,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_3lAD0dUfRIYGC67,Default Response Set,Anonymous,,,130.215.24.218,0,4/7/2017 12:18,4/7/2017 12:19,1,31,21,1,2,1,1,2,1,5,1,5,,1,1,1,1,1,,,,,,4,1,1,5,2,1,,,,,1,1,,,,,,1,42.28570557,-71.82920074,-1
R_1FlU1CKLeFUxcMU,Default Response Set,Anonymous,,,130.215.24.216,0,4/7/2017 12:18,4/7/2017 12:29,1,32,21,1,2,2,2,2,1,3,4,4,1,1,,1,,,1,1,1,,,1,1,2,1,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_3PN4gv1VtDQe4xu,Default Response Set,Anonymous,,,130.215.24.216,0,4/7/2017 12:29,4/7/2017 13:36,1,33,20,1,2,1,1,2,1,3,3,3,1,1,1,,,,,,,,,1,1,2,1,2,1,,1,,1,,,,,,,,1,42.28570557,-71.82920074,-1
R_1gA71e1vDbyTsA0,Default Response Set,Anonymous,,,130.215.24.216,0,4/8/2017 14:02,4/8/2017 14:04,1,34,24,1,2,1,1,2,1,4,4,4,1,,,,,,,,,1,Survival Horror,3,2,2,1,1,2,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_1DJ31rFiMgZc9As,Default Response Set,Anonymous,,,130.215.24.218,0,4/10/2017 10:21,4/10/2017 11:36,1,35,20,1,2,2,2,2,1,4,2,4,1,,,,1,1,,,,,,2,1,2,1,2,1,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_2ZPOHtInXrDDkds,Default Response Set,Anonymous,,,130.215.24.218,0,4/10/2017 11:36,4/10/2017 12:01,1,36,20,1,2,1,1,2,1,5,3,4,1,1,1,1,1,1,1,1,,1,Fighting Games (networked and local),5,4,1,5,2,1,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_117OEC8T5gEBofR,Default Response Set,Anonymous,,,130.215.24.218,0,4/10/2017 12:01,4/10/2017 12:29,1,37,19,2,2,1,1,2,1,4,2,4,1,1,1,1,1,,1,1,,,,4,1,1,2,1,5,,,,,,1,1,,,,,1,42.28570557,-71.82920074,-1
R_9AiJ58eDWHyCS7T,Default Response Set,Anonymous,,,130.215.24.218,0,4/10/2017 12:29,4/10/2017 12:43,1,38,20,1,2,2,2,2,1,4,3,3,1,1,1,1,,1,1,1,,,,5,3,2,2,2,1,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_BtsrfQxEEpZUc4V,Default Response Set,Anonymous,,,130.215.24.218,0,4/10/2017 13:08,4/10/2017 13:09,1,39,22,2,2,1,1,2,1,2,2,1,,,,,1,,1,1,1,,,1,1,1,3,2,1,,,,1,,,,,,,,1,42.28570557,-71.82920074,-1
R_1KlNDN4HpAhHcO3,Default Response Set,Anonymous,,,130.215.24.218,0,4/11/2017 9:56,4/11/2017 10:04,1,40,19,1,2,2,2,1,1,4,2,4,1,1,,1,1,,1,,,,,3,1,2,,2,1,,,,,,1,1,,,,,1,42.28570557,-71.82920074,-1
R_1l5e0iH9rubyZMf,Default Response Set,Anonymous,,,130.215.24.216,0,4/11/2017 9:57,4/11/2017 11:59,1,41,20,1,2,1,1,2,1,4,5,4,,1,,1,1,1,,1,,1,Sandbox,6,2,1,1,1,3,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_3Eb99rY7KjnJS3C,Default Response Set,Anonymous,,,130.215.24.216,0,4/11/2017 11:59,4/11/2017 18:44,1,42,19,3,2,1,1,2,1,5,4,5,1,1,1,1,1,1,1,1,,,,3,2,1,3,1,2,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_1kN9fH4KIpct8g3,Default Response Set,Anonymous,,,130.215.24.216,0,4/11/2017 18:45,4/11/2017 18:49,1,44,23,2,2,1,1,2,2,1,1,1,,1,,,1,1,1,1,1,,,3,1,1,5,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_33a4ZsSnwjGUu7K,Default Response Set,Anonymous,,,130.215.24.218,0,4/12/2017 10:08,4/12/2017 11:00,1,46,18,2,2,2,2,2,1,3,4,2,1,,,1,1,1,,1,,,,2,2,2,1,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_2qxBBCiZVuIHpOB,Default Response Set,Anonymous,,,130.215.24.218,0,4/12/2017 11:01,4/12/2017 11:02,1,47,20,2,2,1,1,2,1,2,3,1,,,,,,1,,1,1,,,1,1,2,1,2,1,,,,,,,,,1,,,1,42.28570557,-71.82920074,-1
R_WoN6tqGUZApB0K5,Default Response Set,Anonymous,,,130.215.24.216,0,4/12/2017 10:19,4/12/2017 11:03,1,48,19,2,1,2,2,2,1,2,1,2,,,,,,,,1,1,,,1,1,2,1,2,1,,1,,,,,,,,,,1,42.28570557,-71.82920074,-1
R_3IbmyScZaGIY2J3,Default Response Set,Anonymous,,,130.215.24.218,0,4/12/2017 11:25,4/12/2017 12:37,1,49,20,2,2,1,1,2,1,1,1,1,,,,,,,,,,,,1,1,2,1,2,1,,1,,,,,,,,,,1,42.28570557,-71.82920074,-1
R_3nCwZzt9hm6djkq,Default Response Set,Anonymous,,,130.215.24.215,0,4/11/2017 18:40,4/11/2017 19:39,0,43,19,1,2,1,1,2,2,1,1,1,,1,,1,1,,1,,,1,tagpro.gg (check it out),2,1,1,1,2,1,,,,,1,1,,,,,,,,,-1
R_3JE2Zl1ujLvCreh,Default Response Set,Anonymous,,,130.215.24.215,0,4/12/2017 10:05,4/12/2017 10:09,0,45,21,1,1,1,1,2,1,5,3,4,1,1,1,1,1,1,1,1,,,,3,1,1,1,2,1,,,,,,,,,,1,Aerospace Engineering,,,,-1
R_29tiBTI83IFji3n,Default Response Set,Anonymous,,,130.215.24.216,0,4/12/2017 11:25,4/12/2017 13:27,0,50,19,2,2,2,2,2,1,1,1,1,,,,,1,,,,1,,,1,1,2,1,2,1,,,,,,,,,,1,Industrial Engineering and Math ,,,,-1
